,Predicted Age,data_test,report
2952,L,W,"              precision    recall  f1-score   support

           D       0.35      0.16      0.22       652
           L       0.61      0.77      0.68       963
           W       0.72      0.80      0.76       921

    accuracy                           0.62      2536
   macro avg       0.56      0.58      0.55      2536
weighted avg       0.58      0.62      0.59      2536
"
20651,W,W,"              precision    recall  f1-score   support

           D       0.35      0.16      0.22       652
           L       0.61      0.77      0.68       963
           W       0.72      0.80      0.76       921

    accuracy                           0.62      2536
   macro avg       0.56      0.58      0.55      2536
weighted avg       0.58      0.62      0.59      2536
"
14731,W,W,"              precision    recall  f1-score   support

           D       0.35      0.16      0.22       652
           L       0.61      0.77      0.68       963
           W       0.72      0.80      0.76       921

    accuracy                           0.62      2536
   macro avg       0.56      0.58      0.55      2536
weighted avg       0.58      0.62      0.59      2536
"
23610,W,W,"              precision    recall  f1-score   support

           D       0.35      0.16      0.22       652
           L       0.61      0.77      0.68       963
           W       0.72      0.80      0.76       921

    accuracy                           0.62      2536
   macro avg       0.56      0.58      0.55      2536
weighted avg       0.58      0.62      0.59      2536
"
792,L,L,"              precision    recall  f1-score   support

           D       0.35      0.16      0.22       652
           L       0.61      0.77      0.68       963
           W       0.72      0.80      0.76       921

    accuracy                           0.62      2536
   macro avg       0.56      0.58      0.55      2536
weighted avg       0.58      0.62      0.59      2536
"
8867,L,L,"              precision    recall  f1-score   support

           D       0.35      0.16      0.22       652
           L       0.61      0.77      0.68       963
           W       0.72      0.80      0.76       921

    accuracy                           0.62      2536
   macro avg       0.56      0.58      0.55      2536
weighted avg       0.58      0.62      0.59      2536
"
21356,W,W,"              precision    recall  f1-score   support

           D       0.35      0.16      0.22       652
           L       0.61      0.77      0.68       963
           W       0.72      0.80      0.76       921

    accuracy                           0.62      2536
   macro avg       0.56      0.58      0.55      2536
weighted avg       0.58      0.62      0.59      2536
"
770,L,D,"              precision    recall  f1-score   support

           D       0.35      0.16      0.22       652
           L       0.61      0.77      0.68       963
           W       0.72      0.80      0.76       921

    accuracy                           0.62      2536
   macro avg       0.56      0.58      0.55      2536
weighted avg       0.58      0.62      0.59      2536
"
14310,L,L,"              precision    recall  f1-score   support

           D       0.35      0.16      0.22       652
           L       0.61      0.77      0.68       963
           W       0.72      0.80      0.76       921

    accuracy                           0.62      2536
   macro avg       0.56      0.58      0.55      2536
weighted avg       0.58      0.62      0.59      2536
"
8329,L,L,"              precision    recall  f1-score   support

           D       0.35      0.16      0.22       652
           L       0.61      0.77      0.68       963
           W       0.72      0.80      0.76       921

    accuracy                           0.62      2536
   macro avg       0.56      0.58      0.55      2536
weighted avg       0.58      0.62      0.59      2536
"
